owner,tokenAccount,amountRaw,amountUi
DuggpsvuYEMF2zZ1PMdufLEzn5QXyzoY6kiAJCS7MAW8,8SQUsjkjykTDmMSBH4L6FR7s267UgwjDGyjJrHjHp1s8,19000000000000,19000
6kkWeBA42zHYkjtuc3H4dWCKoMxCZ5zB2phLRUUVxX2Y,5N1kwYiEixg66vfErbn31vWAd6jRDmYU3GmHrJnCEpxn,12995774326333,12995.774326333
2njBymKcqtzKEFgdGgiSgAsRafpks74sTNGr6GGae7Ep,CuqW449K7RuUs7XPjxTa3Ws9tyuFdnNwaF4Uzcto7QFM,10900000000000,10900
BURNNeQ2zERsVhL6GgJR45CvGtwdxHeWBs4B5V4zRFgL,7pNaeMqmXLzF5w8NgvduaVD9h6hjxdiz5prL28dmUFs6,9829541029021,9829.541029021
8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,4CNB2kw1N8mPD1JDWMEHAnjgAzViixkFwQPT8JSowCLG,5642927061469,5642.927061469
EcXfHjMGg5oguTwYPuNCZnBmuRhmbYzh8YTNkdrfKeRM,HVE4R1tH1NRA7BezBpcQWX1vvwMekvKLmr11nHP3iCQj,4642420422055,4642.420422055
2ckwUy7xJgaw6thXP21VdbwL3AVZSuSUtZeZiAv7g7oQ,7wWHsaYbRVzEYEHLjXZRTYT1HVqw7hNM6nR8c192NgdQ,3549001015283,3549.001015283
ZG98FUCjb8mJ824Gbs6RsgVmr1FhXb2oNiJHa2dwmPd,FTvPAHeDRfbGUCnbMpkzvsAaFVcBotS2NmZsi2oZ7jyt,2430283839722,2430.283839722
45ruCyfdRkWpRNGEqWzjCiXRHkZs8WXCLQ67Pnpye7Hp,D5giqtHuWn6LkmXwUwq7NPk2RwNYoMGVcHkaU2CzH2RW,1779878651662,1779.878651662
9X9wUFCGVe443SXSqQqNHDBPsKohxYw3CYaV2Vp8Ck6v,7xwzgTRzApdPKMDRKCQdSx6tAn9QnpuzytY2XHB6ss2G,1500000000000,1500
4RWijtcjK52C8jimyecDhhKhPY353RVFDmgDRx7cv9v8,HDofVV5ze8N4cqHgrDbKQiA4inghTYveoRALXPtSffiF,1250000000000,1250
HiZLqdYaJJHDhivNj9PcME7FCyAr9h8L6E1ErLEfN5Fc,82HeHYTVW23Fz9ktWzAq5jTM5UskziNd5ahiCFpPVdKS,1250000000000,1250
EWsCec4ayMgut2Sa3mBGydxfPSHy95H8u3PjHchP9pgS,7NXKp7QPjzM559Q3gkyk5k9Ytegetr7XGS2vkyYxmkHf,1000000000000,1000
9H7W79KVMVZ2acFcpPYxdfGsBB8n7SrmgVNYWVjrJMpt,ErUN4TGi1vddMzTc7zoAsJc6WGQXEGF14kKyb3mrrcT6,1000000000000,1000
CgfC5gzSGqAkPpdwZX97JqvPFrn6rrDDPUKL8tqpsubq,8Wko9PZfwzJq2rybRpLMPfpePEEvTQS4Vqs4Pfzp1ePK,1000000000000,1000
2rbMgYvzAb3xDk6vXrzKkY3VwsmyDZsJTkvB3JJYsRzA,BsE6CpafMxcyAvhzqoRp9hEycpghqPpk2mFJPVciFEpx,353491279333,353.491279333
CACruyxXwLgZDyFyiSYrVWcmyVm6Lb6GuvgqA8hjLbHU,DASqupfB3JUPxSJU7oEdoPhgf8rwhNbQFank1TrFRSYD,250000000000,250
HRPgvFwrp4hDTCTd2o8NbSKh1GwAfxhuit7bQKwxyoER,FbK6F3Zwgx5kbBPFg9o6ydpBkdb7yHHDbGd5v7XnmEmq,250000000000,250
AaxcnLhBTiNCftMAzrwtwa136W7CSkkZvgqW7yACfPg,6qRvioWQfMqUREgswBiR1pmaic6w9bQzCWRpG5XvtttZ,250000000000,250
DWaGCBFtzf7DDizz7RQyeiS5L6iXqzz24pmiBjhSHdtD,4p2LKSfUQCTJeY2rikrVPTamN5cyQvmXJwbep27VPpqE,100000000000,100
3CgvbiM3op4vjrrjH2zcrQUwsqh5veNVRjFCB9N6sRoD,C8ADE1xLi3qjJU1Cn8niiMRtZ4b4NQjdRKTCMw4YAkdM,12179551896,12.179551896
C3E2846XNC6nTBi2dHCSxzirwUhRXBS1fGSXhRseQn2k,BpgzQJTHWoR4wMJVjhKG7YmxiuYH6htpQy4KrAWbpEGn,10000000000,10
FdZj6XpWDLxeQZXqSe9eywJNcbwSLpjFtv698D1MsHp7,CHxKSwBpqwoMqn8d8Rzcm41ecUosQ3dVUL72vCWeA1eu,10000000000,10
6HTU78mFeFVN3xBqjk2mB97kmBAj7gx8JMzAnp45tDSn,FRc9dKBhJ76HcVFbjwbMbrQCnFyp1iQ8NGZhQoE7z7dG,10000000000,10
3Er1tpcJ8NwtvYnFvd8VyJ16kLAunzTPbswuBKNeMeHe,Hr4RWsHgHHzivhe6dHkYg7EsVCpAqym5tgEQNno7nypd,10000000000,10
CyGmwuBh19z9yFu8vPzZdLzFG48fZoTdeDeCzocaUW7b,BDiPPps4zzpmMVZaLpwVtMESejwTdvv1Lp7pry5mXrLs,10000000000,10
9J8wPZ4LSG4fDrLUySo6F2Ncx1ZyRud8dMoFsShgwMK2,EF1aMZPs4coDTUSBXuLuTH2DntJWs3zuvXvoqk1yd4bN,10000000000,10
BUSjWuMbLuCWv9ThNnX7Lwsdcxkb7KmLGUm5mPtEdB52,FxApCuZ9CpkqLBzQPdpKs469W76Q2vppajTYWjYLuvjV,10000000000,10
9qNwShgBAfwcvb2WiswVSjFXdT1CorA7Ueh2nHX8JnGk,2wdyzTLbSWyDzMSJ4gUEVGnR5ErcUfv1fRiFYWTrDr5u,10000000000,10
FgJtutrtBHD5MrcdfrJ6JbUjvR1wJ5bV2Ke7Hp2NuxN6,A7aFfsAxzRgxqpZx8QS1ZsEaxkwG3AiGuYWbGaAxJaLg,10000000000,10
5eZJxA1gVTo5niyHoJx9ZwiBANWsfd3nmm8TSMSD82n4,4YrZpGPiETbDrF4hYfZGFZk7h7Ke6BVmvPBGro9yhKgX,10000000000,10
7xssfVkV4HVXrvRgAsBE58PiUDA69vq1BS9ZDTtu4L8k,EM2BovV2imbV5AAogYEkQcdRDh3DdaAayTf5kGC71H1Z,1000000000,1
